City;Rank;State;Growth From 2000 to 2013;Population;Coordinates
Pacifica;960;California;0.5;38606;37.6138253,-122.4869194
Lancaster;153;California;33.8;159523;34.6867846,-118.1541632
Cupertino;589;California;14.3;60189;37.3229978,-122.0321823
Gilroy;712;California;23.9;51701;37.0057816,-121.5682751
Fresno;34;California;18.3;509924;36.7468422,-119.7725868
San Gabriel;919;California;0.9;40275;34.0961111,-118.1058333
Redwood City;403;California;7.1;80872;37.4852152,-122.2363548
Union City;465;California;7.4;72528;37.5933918,-122.0438298
Aliso Viejo;741;California;25.4;50175;33.5676842,-117.7256083
Menifee;384;California;95.0;83447;33.6971468,-117.185294
San Ramon;449;California;65.8;74513;37.7799273,-121.9780153
Ontario;144;California;5.5;167500;34.0633443,-117.6508876
Glendale;121;California;0.30000000000000004;196021;34.1425078,-118.255075
Gardena;593;California;3.4;59957;33.8883487,-118.3089624
West Sacramento;746;California;55.6;49891;38.5804609,-121.530234
San Rafael;609;California;5.0;58994;37.9735346,-122.5310874
Simi Valley;210;California;12.6;126181;34.2694474,-118.781482
West Covina;261;California;2.3;107740;34.0686208,-117.9389526
Carson;325;California;2.9;92599;33.8316745,-118.281693
Santa Maria;281;California;30.9;102216;34.9530337,-120.4357191
La Mesa;613;California;6.9;58642;32.7678287,-117.0230839
Turlock;482;California;23.5;70365;37.4946568,-120.8465941
Martinez;992;California;3.4;37165;38.0193657,-122.1341321
Thousand Oaks;198;California;9.5;128731;34.1705609,-118.8375937
Azusa;780;California;6.7;47842;34.1336186,-117.9075627
Torrance;171;California;6.6;147478;33.8358492,-118.3406288
Oakley;966;California;47.7;38194;37.9974219,-121.7124536
Palo Alto;517;California;13.7;66642;37.4418834,-122.1430195
Brentwood;663;California;122.3;55000;37.931868,-121.6957863
Davis;521;California;11.9;66205;38.5449065,-121.7405167
La Mirada;761;California;4.6;49133;33.9172357,-118.0120086
Garden Grove;135;California;5.8;175140;33.7739053,-117.9414477
Lynwood;471;California;2.0;71371;33.930293,-118.2114603
Los Angeles;2;California;4.8;3884307;34.0522342,-118.2436849
Yucaipa;698;California;26.8;52536;34.033625,-117.0430865
Downey;238;California;5.3;113242;33.9401088,-118.1331593
South Gate;312;California;-0.8;95677;33.954737,-118.2120161
Huntington Beach;117;California;3.9;197575;33.660297,-117.9992265
Stanton;958;California;2.8;38623;33.8025155,-117.9931165
Santa Clara;220;California;17.4;120245;37.3541079,-121.9552356
Oceanside;137;California;6.6;172794;33.1958696,-117.3794834
Lake Forest;408;California;4.2;79312;33.6469661,-117.689218
Compton;301;California;4.5;97877;33.8958492,-118.2200712
El Monte;234;California;-0.4;115708;34.0686206,-118.0275667
Danville;846;California;3.7;43341;37.8215929,-121.9999606
Santa Barbara;339;California;0.9;90412;34.4208305,-119.6981901
